term,sessionPeriod,sessionTimes,meetingTimes,billNo,billName,billOrg,billProposer,billCosignatory,billStatus,pdfUrl,docUrl,selectTerm,
09,01,01,,1050202070200100,「平均地權條例第十八條條文修正草案」，請審議案。,本院委員葉宜津等22人,葉宜津　　吳秉叡　　 ,邱議瑩　　Kolas  Yotaka  　　　莊瑞雄　　許智傑　　 蘇嘉全　　姚文智　　陳賴素美　吳琪銘　　蔡培慧　　吳思瑤　　李俊俋　　李昆澤　　段宜康　　鄭麗君　　陳歐珀　　呂孫綾　　蕭美琴　　張宏陸　　王定宇　　蘇巧慧　　,審查完畢,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00006.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00006.doc,0901,
09,01,01,,1050202070200200,「公民投票法部分條文修正草案」，請審議案。,本院委員葉宜津等21人,葉宜津　　吳秉叡　　許智傑　　陳歐珀 ,Kolas   otaka  　　　莊瑞雄　　邱議瑩　　姚文智　　 陳賴素美　吳琪銘　　蔡培慧　　吳思瑤　　李俊俋　　李昆澤　　段宜康　　鄭麗君　　王定宇　　呂孫綾　　蕭美琴　　張宏陸　　蘇巧慧,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00007.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00007.doc,0901,
09,01,01,,1050202070200300,「交通部公路總局組織條例修正草案」，請審議案。,本院委員葉宜津等24人,葉宜津　　　　　　　　　　　　 ,陳其邁　　王定宇　　吳秉叡　　莊瑞雄　　陳明文　　蔡培慧　　李俊俋　　蘇巧慧　　陳素月　　林俊憲　　蔡易餘　　林靜儀　　邱志偉　　吳焜裕　　余宛如　　 Kolas  Yotaka  　　　鍾佳濱　　蘇震清　　吳玉琴　　顧立雄　　鍾孔炤　　賴瑞隆　　黃國書,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00008.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00008.doc,0901,
09,01,01,,1050202070200400,廢止「交通部公路總局各區養護工程處組織通則」，請審議案。,本院委員葉宜津等24人,葉宜津　　 ,林俊憲　　李俊俋　　蔡培慧　　顧立雄　　余宛如　　陳素月　　吳秉叡　　鍾佳濱　　莊瑞雄　　蔡易餘　　林靜儀　　邱志偉　　吳焜裕　　吳玉琴　　鍾孔炤　　 Kolas  Yotaka    　　賴瑞隆　　黃國書　　趙天麟　　陳明文　　王定宇　　蘇震清　　陳其邁　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00009.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00009.doc,0901,
09,01,01,,1050202070200500,廢止「交通部公路總局材料試驗所組織條例」，請審議案。,本院委員葉宜津等24人,葉宜津　　 ,蘇震清　　林靜儀　　李俊俋　　吳焜裕　　陳其邁　　蔡培慧　　Kolas  Yotaka   　　陳明文　　余宛如　　蘇巧慧　　羅致政　　吳玉琴　　顧立雄　　鍾孔炤　　王定宇　　吳秉叡　　賴瑞隆　　黃國書　　鍾佳濱　　蔡易餘　　莊瑞雄　　林俊憲　　趙天麟,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00010.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00010.doc,0901,
09,01,01,,1050202070200600,廢止「交通部公路總局各區監理所組織通則」，請審議案。,本院委員葉宜津等23人,葉宜津　　 ,李俊俋　　林靜儀　　蘇震清　　蔡培慧　　吳玉琴　　黃國書　　陳其邁　　余宛如　　吳秉叡　　顧立雄　　吳焜裕　　陳明文　　鍾孔炤　　蘇巧慧　　林俊憲　　Kolas    Yotaka　　　陳素月　　賴瑞隆　　鍾佳濱　　趙天麟　　莊瑞雄　　蔡易餘　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00011.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00011.doc,0901,
09,01,01,,1050202070200700,「公路法第六十三條條文修正草案」，請審議案。,本院委員葉宜津等23人,葉宜津　　 ,張宏陸　　李俊俋　　蕭美琴　　陳歐珀　　陳曼麗　　Kolas   Yotaka　　　 許智傑　　吳琪銘　　李昆澤　　邱議瑩　　吳秉叡　　莊瑞雄　　姚文智　　蔡培慧　　段宜康　　王定宇　　蘇嘉全　　陳賴素美　吳思瑤　　鄭麗君　　呂孫綾　　蘇巧慧　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00012.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00012.doc,0901,
09,01,01,,1050202070200900,「兒童及少年扶養津貼條例草案」，請審議案。,本院委員葉宜津等21人,葉宜津　　 ,吳秉叡　　邱議瑩　　Kolas  Yotaka   　　莊瑞雄　　許智傑　　蘇嘉全　　姚文智　　陳賴素美　蔡培慧　　吳思瑤　　段宜康　　李俊俋　　李昆澤　　鄭麗君　　蕭美琴　　陳歐珀　　王定宇　　張宏陸　　呂孫綾　　蘇巧慧　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00013.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00013.doc,0901,
09,01,01,,1050202070200800,「土地稅法第十五條及第十六條條文修正草案」，請審議案。,本院委員葉宜津等19人,葉宜津　　,莊瑞雄　　許智傑　　邱議瑩　　姚文智　　陳賴素　　吳琪銘　　蔡培慧　　吳思瑤　　李俊俋　　李昆澤　　段宜康　　鄭麗君　　陳歐珀　　呂孫綾　　蕭美琴　　王定宇　　蘇巧慧　　張宏陸　　,排入院會,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00014.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00014.doc,0901,
09,01,01,,1050202070201000,「政黨法草案」，請審議案。,本院委員葉宜津等24人,葉宜津　　陳其邁　　　　　　　　　　　　 ,蘇震清　　李俊俋　　邱志偉　　吳秉叡　　蔡培慧　　林靜儀　　黃國書　　余宛如　　吳玉琴　　蔡易餘　　顧立雄　　吳焜裕　　鍾孔炤　　蘇巧慧　　王定宇　　Kolas   Yotaka   　　陳素月　　賴瑞隆　　鍾佳濱　　莊瑞雄　　陳明文　　林俊憲,審查完畢,http://lci.ly.gov.tw/LyLCEW/agenda1/02/pdf/09/01/01/LCEWA01_090101_00015.pdf,http://lci.ly.gov.tw/LyLCEW/agenda1/02/word/09/01/01/LCEWA01_090101_00015.doc,0901,
