term,sessionPeriod,sessionTimes,meetingTimes,agendaNo,billName,docUrl,selectTerm,
09,01,01,,1,本院委員吳志揚等11人，有鑑於臺灣地處颱風常襲，地震常發的地帶，災害潛能大、災害頻率高的地區。一般民眾每每災害發生時，第一時間撥打的電話大多是「119」。而當大多數民眾逃離災區、遠離危險時，消防人員秉持「別人的出口，是我們的入口」的精神，前往災害現場、搶救受困民眾。然綜觀我國目前消防體制長期以來面臨人力不足、福利待改善等相關現況。此現況有頓挫消防人員工作士氣，影響執勤效率之虞。故建請行政院儘速召集所屬機關與相關單位針對消防體制與現況進行評估，並提出相應改善計畫，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/02-1050301/0901021050301_001.pdf,0901,
09,01,01,,2,本院委員賴瑞隆等12人臨時提案，鑑於高雄亞洲新灣區計畫內多數土地皆屬國防部、中油、台電、台糖等國營事業，然前述土地目前皆以未來使用規劃等理由，未能配合亞洲新灣區政策，釋出土地，尤以205兵工廠仍未有遷建計畫，多年來亞洲新灣區開發計畫，因中央未能全力支持，導致進度延宕，故建請中央政府應針對高雄「亞洲新灣區計畫」擬定策略發展計畫，配合協助釋出國有土地，以帶動引進金融服務、觀光文創、企業總部、創新產業之進駐，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/02-1050301/0901021050301_010.pdf,0901,
09,01,01,,3,本院委員蔣乃辛等18人臨時提案，有鑑於農曆年前台南發生規模6.4級大地震造成嚴重損失，另根據內政部營建署統計發現，全國屋齡超過30年以上老舊房舍已超過368萬戶，占所有建物比例44%，這些老屋幾乎都無法承受規模6級以上地震，且全台「低耐震」與「未經耐震設計」的房屋更高達425萬戶，一旦發生規模6級大地震，屋舍都有全倒的可能，死傷更無法估計。國家地震中心已經發出警訊，如果台北遭遇此次台南的規模6.4級地震，將會倒掉4千多棟房子，死亡人數恐達上萬。台灣位處環太平洋地震帶，發生地震頻率極高，為防微杜漸，減少震災損失，本席等要求行政院：1.立即針對全台「私有公用」建物進行檢查，尤其是賣場、百貨公司或電影院等住商混合建築即刻展開耐震安全檢修，確保其耐震能力；2.針對私有30年以上老屋進行安全體檢，並提供老屋拆除重建與修繕經費補貼；3.儘速通過修正「建築法」與「都市更新條例」，落實「建築安全履歷」、杜絕「一屋建設公司」及加速「防災型都更」進行，確保民眾住宅安全；4.採納學者專家建議，建案監造人除建築師外，也應納入結構技師共同監造，維護房屋建造品質才能有效減緩地震災害損失，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/01-1050223/0901011050223_003.pdf,0901,
09,01,01,,4,本院委員林俊憲等24人臨時提案，鑑於台南市安南區、北區、中西區、新市區及玉井區都有地點在地震後出現土壤液化現象，導致建築物傾斜、龜裂，許多民眾向本席陳情，表示房屋受損嚴重，就算沒有倒塌，也是根本不敢居住。為此，本席建議，政府不應過渡抱持「鴕鳥心態」，當為防止強烈地震後再度造成重大損傷，應儘速立即公布全國地質敏感區以及土壤液化潛勢區，除讓民眾有知的權利外，更應責成相關單位進行後續補強處理。同時，本席建議應編列預算，專款專用於啟動「老屋普查」，聘請各縣市專業技師公會幫忙，協助鑑定全國縣市屋齡超過三十年的老屋進行結構及耐震度評比，並建立分級檔案制度，方便資料備查，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/01-1050223/0901011050223_004.pdf,0901,
09,01,01,,5,本院委員李昆澤等11人臨時提案，鑑於高雄國際旅展從2014年邀請外國官方旅遊局、民間旅遊業者來台參與後，大幅提升國際化程度及旅展商機，頗受外界好評，2015年在本席爭取下也有亮眼表現，為了平衡南北觀光發展不均，讓高雄國際旅展與台北國際旅展並駕齊驅，爰此，要求交通部觀光局協助邀請更多國家官方旅遊局及民間旅遊業者來台參與高雄國際旅展，進一步擴大高雄觀光旅展國際化程度，提升交易會規模，促進高雄觀光產業發展，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/01-1050223/0901011050223_005.pdf,0901,
09,01,01,,6,本院委員賴士葆、李彥秀等20人臨時提案，針對開放政府（open government）乃為全球趨勢，政府近年來不斷推動開放資料（open data），惟隨著政府資料開放資料不斷增加，如何善用與監督資料的應用仍未有完善的配套。有鑑於此，爰提案建請審計部盡速研議將資料開放程度納入審計查核及建立公民參與審計平台之具體作法，並於民國105年起試行、民國106年正式施行參與式審計，以使公民得隨時監督政府施政，並提出相關建議，抑或糾正與檢舉，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/02-1050301/0901021050301_007.pdf,0901,
09,01,01,,7,本院委員黃偉哲、劉建國、陳瑩、吳思瑤、張廖萬堅、林俊憲等24人臨時提案，鑒於105年2月6日發生於台灣南部芮氏規模6.4之強烈地震，造成上百人死亡及大樓倒塌等災損，為安置受災民眾，使災民早日恢復正常生活，建請行政院應比照「莫拉克風災租金補助辦法」，提出「二零六震災災民租屋補助方案」，並就災民實際居住情形，放寬上限，以使災民在後續居住問題上能獲得幫助，早日回歸正常生活，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/02-1050301/0901021050301_011.pdf,0901,
09,01,01,,8,本院委員簡東明、孔文吉、廖國棟等16人臨時提案，鑒於0206台南維冠大樓因地震天然災害，房屋耐震度不足，6.2級地震共計已造成一一七人死亡悲劇，考量全國原鄉校園校舍耐震能力普遍不足。如苗栗縣南庄國中梁柱龜裂情形加劇並新增裂縫、屏東三地門鄉青葉國小因地震造成舞蹈教室鋼架掉落與牆面磚塊剝落。因此，本席爰提案要求內政部、消防署、教育部、行政院災害防救中心等主管機關應儘速全面檢測原鄉校舍結構安全，並施以補強工作，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/01-1050223/0901011050223_008.pdf,0901,
09,01,01,,9,本院委員王育敏、江啟臣等16人臨時提案，鑑於我國地震、颱風等災害頻仍，惟民眾防災意識不足，社區與學校缺乏常設性組織因應災變，一旦爆發大規模複合型災害，將嚴重損及國人生命財產安全。因921震災與0206震災皆發生於夜間，爰建請內政部加強夜間防災及全國疏散避難地圖之宣導，設計動態疏散避難導航資訊App，結合地方政府擴大實施社區及夜間防災演習；另建請教育部協助各級學校建立常設性校內防災機制，定期舉行校園防災教育及演練，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/02-1050301/0901021050301_006.pdf,0901,
09,01,01,,10,本院委員余宛如、陳曼麗等17人臨時提案，針對交通部公路總局補助苗栗縣政府1800萬「台13線三義外環道新闢工程─生態環境專案研究計畫勞務採購」案，採購金額高逾常理，且對於廠商資格的規範並不符合本案之所需，在此新舊政府交接的敏感時刻，類似此環境影響評估標案應予凍結，爰要求交通部中止此筆補助，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/09/01/01-1050223/0901011050223_010.pdf,0901,
