term,sessionPeriod,sessionTimes,item,selectTerm,
09,02,01,一、本院蕭委員美琴，針對各式水上休閒活動在解嚴後開始蓬勃發展，除了各式水上休閒活動相關法規的制定之外，水上休閒活動的安全性也備受關注。我國經濟部標準檢驗局雖訂有救生衣的國家標準，但國內缺少救生衣檢驗及認證機構，加上目前救生衣非標準檢驗局認定的應施檢驗商品，即非標準檢驗局強制性檢驗商品，因此當業者由國外購入或是國內生產救生衣的業者要送檢商品時，不知該送何機構檢驗及驗證；或是當有問題發生時，需要抽檢救生衣的安全性是否符合標準時，沒有相關機構可以做檢驗。為了維護國內、外旅客及民眾安全，請行政院督促所屬將救生衣納入應施檢驗商品，特向行政院提出質詢。,0902,
09,02,01,二、本院張廖委員萬堅，為配合六都升格，汽車燃料使用費分配辦法業於民國104年修正其分配比例。經查，臺中生活圈道路補助計畫卻因該汽燃料使用費分配方式調整不再受中央補助，臺中市政府之汽車燃料使用費分配款表面上雖然增加，實則臺中生活圈中央補助款與增額之汽車燃料使用費分配款間仍有約10.79億元短缺數，爰此建請中央於生活圈道路補助計畫執行過渡期間仍應持續補助已核定計畫，另關於汽燃費分配之公平合理性及其分配公式，亦請中央主管機關重新檢討，避免政策美意打折，特向行政院提出質詢。,0902,
09,02,01,三、本院許委員淑華，鑒於海牙仲裁法院十二日將就菲律賓提請的「南海仲裁案」作出裁決。這是近十年來最受矚目的仲裁案，不僅衝擊中國大陸與東南亞各國關係，更將牽動中美及兩岸關係；要求行政院應妥為權衡，謹慎因應。爰此，特向行政院提出質詢。,0902,
09,02,01,四、本院許委員淑華，針對政府全力推動的五大產業之一「亞洲矽谷推動計畫」，因各界有不同意見，在送進行政院院會核定前臨時喊卡。究竟亞洲矽谷的定義與範疇為何？什麼情境是希望達成的願景、如何清楚的自我定位，與其他類似地區的差異點何在？要求行政院面對台灣經濟的困境、產業轉型的需求，應重新思考亞洲矽谷的任務，精準地提出產業政策。爰此，特向行政院提出質詢。,0902,
09,02,01,五、本院許委員淑華，鑒於年金問題早已不是單純的老人退休資金來源問題，而是國家社會安全的根本問題。建議行政院，關於年金改革方案，首先應確立「三層年金制」。對於屬社會安全制度的第一層，應有大破大立的作法，打破職業別的藩籬，讓所有的民眾退休後得到相同的基本生活供應，才能徹底消除職群對立。在第二層方面，應消除公務機關與國營企業間退休制度的差異、協助民營企業強化退休制度、提高其退休基金運用效率。在第三層方面，宜以租稅誘因，鼓勵民眾及早長期儲蓄，以提升退休後之生活品質。爰此，特向行政院提出質詢。 質9,0902,
09,02,01,六、本院許委員淑華，鑒於經常有登山客在惡劣天氣入山發生危險，出動直升機或人力搜救，浪費龐大社會資源。建請行政院責成所屬相關機關，應比照辦理，搜救從「免費」到「有價」，主管機關應明確訂定山難搜救收費標準，救援者與被救者之間的權利義務關係，搜救程序、時效也應清楚界定。爰此，特向行政院提出質詢。,0902,
09,02,01,七、本院許委員淑華，針對台鐵車廂爆炸案，幸而很快破案，撫平社會驚疑；但這起孤狼式的自殺攻擊事件也明白揭示：公共運輸與公共場所安全的提升，刻不容緩；社會安全網的補綴，更要標本兼治。爰此，特向行政院提出質詢。,0902,
09,02,01,八、本院許委員淑華，鑒於國家發展委員會落實選舉政見，提出「亞洲矽谷推動方案」（草案），這份草案因為遭到年輕的創新業者質疑，在行政院會召開之前臨時撤案。面向21世紀的產業趨勢，人才匯聚是傳統產業升級、創新產業成功、金融產業發展的根本關鍵，人才在國家產業發展的重要性，超越土地、超越資本，是一切創新的根本，不論是亞洲矽谷、創業創新、或者其他美麗的口號，台灣必須吸引到「厲害的腦袋」（BEST BRAINS），產業才有脫胎換骨的可能，人才是亞洲矽谷成敗最關鍵的KPI（關鍵績效指標），唯有從這裡出發，亞洲矽谷才有成功的可能。爰此，特向行政院提出質詢。,0902,
09,02,01,九、本院許委員淑華，鑒於我國出口連17個月衰退，再創紀錄，然我國如此依賴貿易，表面上的理由是國內市場太小，非得將產品出口不可。但西、北歐諸多人口遠較我國為少的國家，貿易依存度都遠較我國為低，經濟成長主要的動力其實是內需，足供我們反思。真正的理由其實是，我們過去透過貿易嘗過的甜頭太多，以至於形成依賴、難以自拔、耽於改變。如今面對出口連黑，建請行政院應該參考中、韓，嚴肅思考發展內需市場的必要性。爰此，特向行政院提出質詢。,0902,
09,02,01,十、本院許委員淑華，鑒於交通部正在規劃四年的智慧運輸系統建設計畫，期望以既有的智慧運輸發展成果，推動民眾有感、需求導向的智慧運輸系統。然而，檢視智慧運輸建設計畫，其內容除了涉及交通部的運輸服務與交通安全，更和經濟、科技、環境、警政署有高度相關，因而要求行政院，針對該計畫辦公室應提升至行政院的層次，才能發揮整合功能與綜效，達到民眾有感與產業發展的策略目標。爰此，特向行政院提出質詢。,0902,
09,02,01,十一、本院許委員淑華，針對2013年菲律賓向海牙國際法庭常設仲裁法院提出南海仲裁案，將宣布裁決。要求行政院要嚴守中華民國立場，更要避免讓台灣陷入可能的大國權力衝突。爰此，特向行政院提出質詢。,0902,
09,02,01,十二、本院許委員淑華，鑒於尼伯特颱風重創台東地區，滿地吹倒的招牌、鐵皮屋、翻覆車輛，宛似遭轟炸過的景象讓國人震驚，加強防災意識、防災警覺，是難度高且不容易看出績效，但卻是有意義的打樁工程。台東風災在復原整建的過程，若能調整台東城市體質往防災城市邁進，硬體之外同步配合演習，提升民眾的防災意識，讓下次災難來臨時成為防災作為的發動者，這才是根本，也是新政府亟待提升的施政素養。爰此，特向行政院提出質詢。,0902,
