term|sessionPeriod|sessionTimes|item|selectTerm|Unnamed: 5|name|clean item|segmented_words|likelihood|party
9|1|1|一、本院徐委員榛蔚，鑑於我國建築技術及橋樑規範於921地震之後，重新制定耐震係數，提高建物抗震標準，然於民國88年以前興建完成之建築所適用之耐震標準除與現行標準相較為低，耐震強度更顯不足，相關單位應儘速針對民國88年以前興建完成之建築進行全面性之體檢，並以未來強震發生機率及震度危害高度地區為優先體檢對象，且根據檢測結果研擬相關管制或強制補強作為，以加強建築之耐震強度，降低國人天災風險，特向行政院提出質詢。|901||徐榛蔚|鑑於我國建築技術及橋樑規範於921地震之後，重新制定耐震係數，提高建物抗震標準，然於民國88年以前興建完成之建築所適用之耐震標準除與現行標準相較為低，耐震強度更顯不足，相關單位應儘速針對民國88年以前興建完成之建築進行全面性之體檢，並以未來強震發生機率及震度危害高度地區為優先體檢對象，且根據檢測結果研擬相關管制或強制補強作為，以加強建築之耐震強度，降低國人天災風險，特向行政院提出質詢。|['鑑於', '我國', '建築', '技術', '及', '橋樑', '規範', '於', '921', '地震', '之後', '，', '重新制定', '耐震', '係數', '，', '提高', '建物', '抗震', '標準', '，', '然', '於', '民國', '88', '年', '以前', '興建', '完成', '之', '建築', '所', '適用', '之', '耐震', '標準', '除', '與', '現行標準', '相較', '為', '低', '，', '耐震', '強度', '更顯', '不足', '，', '相關', '單位', '應', '儘速', '針對', '民國', '88', '年', '以前', '興建', '完成', '之', '建築', '進行', '全面性', '之', '體檢', '，', '並', '以', '未來', '強震', '發生', '機率', '及震度', '危害', '高度', '地區', '為', '優先', '體檢', '對象', '，', '且', '根據', '檢測', '結果', '研擬', '相關', '管制', '或', '強制', '補強', '作為', '，', '以', '加強', '建築', '之', '耐震', '強度', '，', '降低', '國人', '天災', '風險', '，', '特', '向', '行政院', '提出', '質詢', '。']|-6.202981948852539|中國國民黨
9|1|1|二、本院徐委員榛蔚，針對今（105）年2月6日南台強震，台南地區因盲斷層影響，產生「震源效應」及「場址效應」，導致多處大樓倒塌災情，受創程度嚴重，全台地質狀態亦相對產生變動，相關單位應儘速就全台地區斷層分布狀況及地震密集帶進行通盤檢討，並定期更新相關資料，公布於相關單位網站，俾盡政府保護全體國民安全之責，特向行政院提出質詢。|901||徐榛蔚|針對今（105）年2月6日南台強震，台南地區因盲斷層影響，產生「震源效應」及「場址效應」，導致多處大樓倒塌災情，受創程度嚴重，全台地質狀態亦相對產生變動，相關單位應儘速就全台地區斷層分布狀況及地震密集帶進行通盤檢討，並定期更新相關資料，公布於相關單位網站，俾盡政府保護全體國民安全之責，特向行政院提出質詢。|['針對', '今', '（', '105', '）', '年', '2', '月', '6', '日', '南台', '強震', '，', '台南', '地區', '因盲', '斷層', '影響', '，', '產生', '「', '震源', '效應', '」', '及', '「', '場址', '效應', '」', '，', '導致', '多處', '大樓', '倒塌', '災情', '，', '受創', '程度', '嚴重', '，', '全', '台', '地質', '狀態', '亦', '相對', '產生', '變動', '，', '相關', '單位', '應', '儘速', '就', '全台', '地區', '斷層', '分布', '狀況', '及', '地震', '密集', '帶', '進行', '通盤', '檢討', '，', '並', '定期', '更新', '相關', '資料', '，', '公布', '於', '相關', '單位', '網站', '，', '俾盡', '政府', '保護', '全體', '國民', '安全', '之責', '，', '特', '向', '行政院', '提出', '質詢', '。']|-6.759063243865967|中國國民黨
9|1|1|三、本院徐委員榛蔚，針對台9線蘇花公路山區路段改善計畫（以下簡稱蘇花改計畫）究其根柢，係一「以人為本」，源起於為花東居民提供一條安全的返鄉路之國家重要公共建設，然於2012年3月工程施作過程中意外發現「漢本遺址」，後因遺址挖掘事宜，致蘇花改計畫多次延宕，惟公共建設之完成與文化古蹟之維護應並重，建請交通部及公路總局等相關單位不僅就攸關東台灣居民生命安全之交通建設蘇花改計畫各階段工程皆應如期如質完工，具有文資價值之考古發現亦應同時增加相關人力進行挖掘及維護作業，使公共建設與文化資產保存間共存共榮，特向行政院提出質詢。|901||徐榛蔚|針對台9線蘇花公路山區路段改善計畫（以下簡稱蘇花改計畫）究其根柢，係一「以人為本」，源起於為花東居民提供一條安全的返鄉路之國家重要公共建設，然於2012年3月工程施作過程中意外發現「漢本遺址」，後因遺址挖掘事宜，致蘇花改計畫多次延宕，惟公共建設之完成與文化古蹟之維護應並重，建請交通部及公路總局等相關單位不僅就攸關東台灣居民生命安全之交通建設蘇花改計畫各階段工程皆應如期如質完工，具有文資價值之考古發現亦應同時增加相關人力進行挖掘及維護作業，使公共建設與文化資產保存間共存共榮，特向行政院提出質詢。|['針對', '台', '9', '線', '蘇花公路', '山區', '路段', '改善', '計畫', '（', '以下', '簡稱', '蘇花改', '計畫', '）', '究其', '根柢', '，', '係', '一', '「', '以人', '為', '本', '」', '，', '源起', '於', '為', '花東', '居民', '提供', '一條', '安全', '的', '返鄉', '路', '之', '國家', '重要', '公共', '建設', '，', '然', '於', '2012', '年', '3', '月', '工程', '施作', '過程', '中', '意外', '發現', '「', '漢本', '遺址', '」', '，', '後', '因', '遺址', '挖掘', '事宜', '，', '致', '蘇花改', '計畫', '多次', '延宕', '，', '惟', '公共', '建設', '之', '完成', '與', '文化', '古蹟', '之', '維護', '應', '並重', '，', '建請', '交通部', '及', '公路', '總局', '等', '相關', '單位', '不僅', '就', '攸', '關東', '台灣', '居民', '生命安全', '之', '交通', '建設', '蘇花改', '計畫', '各', '階段', '工程', '皆', '應', '如期', '如質', '完工', '，', '具有', '文資', '價值', '之', '考古', '發現', '亦', '應', '同時', '增加', '相關', '人力', '進行', '挖掘', '及', '維護', '作業', '，', '使', '公共', '建設', '與', '文化', '資產', '保存', '間', '共存共榮', '，', '特', '向', '行政院', '提出', '質詢', '。']|-6.4597249031066895|中國國民黨
9|1|1|四、本院徐委員榛蔚，有鑑於每逢農曆年假鐵公路運輸量暴增，復因今（105）年農曆新年發生芮氏規模6.4強震，造成南臺灣多人死傷，交通設施恐有毀損。建請應對年假期間鐵公路疏運政策及實際狀況進行通盤檢討，另在正式上班後，再次對全臺鐵公路設施進行安全巡查，並將結果公布以安民心，特向行政院提出質詢。|901||徐榛蔚|有鑑於每逢農曆年假鐵公路運輸量暴增，復因今（105）年農曆新年發生芮氏規模6.4強震，造成南臺灣多人死傷，交通設施恐有毀損。建請應對年假期間鐵公路疏運政策及實際狀況進行通盤檢討，另在正式上班後，再次對全臺鐵公路設施進行安全巡查，並將結果公布以安民心，特向行政院提出質詢。|['有鑑於', '每逢', '農曆年', '假鐵', '公路', '運輸量', '暴增', '，', '復', '因今', '（', '105', '）', '年', '農曆', '新年', '發生', '芮氏', '規模', '6.4', '強震', '，', '造成', '南', '臺灣', '多人', '死傷', '，', '交通設施', '恐有', '毀損', '。', '建請', '應對', '年假', '期間', '鐵', '公路', '疏運', '政策', '及', '實際', '狀況', '進行', '通盤', '檢討', '，', '另', '在', '正式', '上班', '後', '，', '再次', '對', '全臺', '鐵', '公路', '設施', '進行', '安全', '巡查', '，', '並將', '結果', '公布', '以', '安民', '心', '，', '特', '向', '行政院', '提出', '質詢', '。']|-7.4819111824035645|中國國民黨
9|1|1|五、本院鄭委員麗君，就國立中興大學徵「零元講師」乙事，特向行政院提出質詢。|901||鄭麗君|就國立中興大學徵「零元講師」乙事，特向行政院提出質詢。|['就', '國立中興大學', '徵', '「', '零元', '講師', '」', '乙事', '，', '特', '向', '行政院', '提出', '質詢', '。']|-10.17293930053711|民主進步黨
9|1|2|一、本院曾委員銘宗，針對中國阿里巴巴在我國成功申請646件專利申請且其中有227件金融科技專利一案，特向行政院提出質詢。|901||曾銘宗|針對中國阿里巴巴在我國成功申請646件專利申請且其中有227件金融科技專利一案，特向行政院提出質詢。|['針對', '中國', '阿里巴巴', '在', '我國', '成功', '申請', '646', '件', '專利申請', '且', '其中', '有', '227', '件', '金融', '科技', '專利', '一案', '，', '特', '向', '行政院', '提出', '質詢', '。']|-7.389380931854248|中國國民黨
9|1|2|二、本院王委員惠美，鑑於2015年台灣總生育率降至1.12‰，遠低於維持人口結構穩定的總生育率2.1‰的水準，少子化的成因眾多，幼兒教育經費支出造成家庭負擔是其中關鍵成因，且少子化將造成勞動力銳減，嚴重影響經濟發展；又根據研究，完善的幼兒教育有助於提升個人未來勞動力。基於上述，為提高生育率、完善幼兒教育及減輕家長負擔增加家庭所支配所得，藉以改善生活。因此，建議幼兒教育券之補助由5歲幼兒修訂為3歲至5歲幼兒，以完善幼兒教育。爰此，特向行政院提出質詢。|901||王惠美|鑑於2015年台灣總生育率降至1.12‰，遠低於維持人口結構穩定的總生育率2.1‰的水準，少子化的成因眾多，幼兒教育經費支出造成家庭負擔是其中關鍵成因，且少子化將造成勞動力銳減，嚴重影響經濟發展；又根據研究，完善的幼兒教育有助於提升個人未來勞動力。基於上述，為提高生育率、完善幼兒教育及減輕家長負擔增加家庭所支配所得，藉以改善生活。因此，建議幼兒教育券之補助由5歲幼兒修訂為3歲至5歲幼兒，以完善幼兒教育。爰此，特向行政院提出質詢。|['鑑於', '2015', '年', '台灣', '總', '生育率', '降至', '1.12', '‰', '，', '遠', '低於', '維持', '人口結構', '穩定', '的', '總', '生育率', '2.1', '‰', '的', '水準', '，', '少子', '化', '的', '成因', '眾多', '，', '幼兒教育', '經費支出', '造成', '家庭', '負擔', '是', '其中', '關鍵', '成因', '，', '且', '少子', '化將', '造成', '勞動力', '銳減', '，', '嚴重', '影響', '經濟', '發展', '；', '又', '根據', '研究', '，', '完善', '的', '幼兒教育', '有助於', '提升', '個人', '未來', '勞動力', '。', '基於', '上述', '，', '為', '提高', '生育率', '、', '完善', '幼兒教育', '及', '減輕', '家長', '負擔', '增加', '家庭', '所', '支配', '所得', '，', '藉以', '改善生活', '。', '因此', '，', '建議', '幼兒教育', '券', '之', '補助', '由', '5', '歲', '幼兒', '修訂', '為', '3', '歲', '至', '5', '歲', '幼兒', '，', '以', '完善', '幼兒教育', '。', '爰', '此', '，', '特', '向', '行政院', '提出', '質詢', '。']|-5.985413074493408|中國國民黨
9|1|2|三、本院王委員惠美，有鑒於今年1月所發生「帝王級寒潮」，造成台灣至少一二二名民眾的死亡以及數十億元農、漁業災害損失，顯見我國政府對於自然災害之定義沒有與時俱進，應變能力嚴重不足；為避免未來因全球氣候異常所產生寒潮、熱浪等天然災害之侵襲所造成的傷害，中央政府應立即研擬寒潮、熱浪等極端異常氣候災害之標準應變程序，並儘速修正「災害防救法」，特向行政院提出緊急質詢。|901||王惠美|有鑒於今年1月所發生「帝王級寒潮」，造成台灣至少一二二名民眾的死亡以及數十億元農、漁業災害損失，顯見我國政府對於自然災害之定義沒有與時俱進，應變能力嚴重不足；為避免未來因全球氣候異常所產生寒潮、熱浪等天然災害之侵襲所造成的傷害，中央政府應立即研擬寒潮、熱浪等極端異常氣候災害之標準應變程序，並儘速修正「災害防救法」，特向行政院提出緊急質詢。|['有鑒於', '今年', '1', '月', '所', '發生', '「', '帝王', '級', '寒潮', '」', '，', '造成', '台灣', '至少', '一二', '二名', '民眾', '的', '死亡', '以及', '數十億元', '農', '、', '漁業', '災害', '損失', '，', '顯見', '我國', '政府', '對於', '自然災害', '之', '定義', '沒有', '與時俱進', '，', '應變能力', '嚴重不足', '；', '為', '避免', '未來', '因', '全球', '氣候異常', '所', '產生', '寒潮', '、', '熱浪', '等', '天然', '災害', '之', '侵襲', '所', '造成', '的', '傷害', '，', '中央政府', '應立即', '研擬', '寒潮', '、', '熱浪', '等', '極端', '異常', '氣候災害', '之', '標準', '應變', '程序', '，', '並', '儘速', '修正', '「', '災害', '防', '救法', '」', '，', '特', '向', '行政院', '提出', '緊急', '質詢', '。']|-6.66879940032959|中國國民黨
9|1|2|四、本院王委員惠美，有鑒於台灣近年來因飼養寵物族群增加，對於寵物貓狗的需求量大增；影響所致，許多不肖業者為降低繁殖成本及提高寵物繁殖效率，進行非法且不人道的繁殖、配種。為確保寵物來源合法、避免非法繁殖，中央政府應儘速研擬、建置「寵物履歷制度」，特向行政院提出質詢。|901||王惠美|有鑒於台灣近年來因飼養寵物族群增加，對於寵物貓狗的需求量大增；影響所致，許多不肖業者為降低繁殖成本及提高寵物繁殖效率，進行非法且不人道的繁殖、配種。為確保寵物來源合法、避免非法繁殖，中央政府應儘速研擬、建置「寵物履歷制度」，特向行政院提出質詢。|['有鑒於', '台灣', '近年來', '因', '飼養', '寵物', '族群', '增加', '，', '對於', '寵物貓', '狗', '的', '需求量', '大增', '；', '影響', '所致', '，', '許多', '不肖', '業者', '為', '降低', '繁殖', '成本', '及', '提高', '寵物', '繁殖', '效率', '，', '進行', '非法', '且', '不人道', '的', '繁殖', '、', '配種', '。', '為', '確保', '寵物', '來源', '合法', '、', '避免', '非法', '繁殖', '，', '中央政府', '應', '儘速', '研擬', '、', '建置', '「', '寵物', '履歷', '制度', '」', '，', '特', '向', '行政院', '提出', '質詢', '。']|-6.089327335357666|中國國民黨
9|1|2|五、本院王委員惠美，有鑒於彰化縣鹿港鎮因保留過去商港時期之風貌及獨特的建築景觀，使得鹿港成為台灣重要的觀光景區；然而鹿港卻也因為觀光人潮倍增及都市化的過程讓具有保存價值的歷史古屋面臨拆除、改建的危機。為保存「鹿港小鎮」之記憶以及保護具有文化價值之歷史古屋，行政院應研擬保存計畫及補助修繕經費，特向行政院提出質詢。|901||王惠美|有鑒於彰化縣鹿港鎮因保留過去商港時期之風貌及獨特的建築景觀，使得鹿港成為台灣重要的觀光景區；然而鹿港卻也因為觀光人潮倍增及都市化的過程讓具有保存價值的歷史古屋面臨拆除、改建的危機。為保存「鹿港小鎮」之記憶以及保護具有文化價值之歷史古屋，行政院應研擬保存計畫及補助修繕經費，特向行政院提出質詢。|['有鑒於', '彰化縣', '鹿港鎮', '因', '保留', '過去', '商港', '時期', '之', '風貌', '及', '獨特', '的', '建築', '景觀', '，', '使得', '鹿港', '成為', '台灣', '重要', '的', '觀光', '景區', '；', '然而', '鹿港', '卻', '也', '因為', '觀光', '人潮', '倍增', '及', '都市化', '的', '過程', '讓', '具有', '保存', '價值', '的', '歷史', '古屋', '面臨', '拆除', '、', '改建', '的', '危機', '。', '為', '保存', '「', '鹿港', '小鎮', '」', '之', '記憶', '以及', '保護', '具有', '文化', '價值', '之', '歷史', '古屋', '，', '行政院', '應', '研擬', '保存', '計畫', '及', '補助', '修繕', '經費', '，', '特', '向', '行政院', '提出', '質詢', '。']|-7.416964054107666|中國國民黨
